Date,Name,Year,Letterboxd URI
2024-12-24,The Godfather Part II,1974,https://boxd.it/2aNq
2024-12-24,Interstellar,2014,https://boxd.it/4VZ8
2024-12-24,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2024-12-24,Dallas Buyers Club,2013,https://boxd.it/4O8G
2024-12-24,Fight Club,1999,https://boxd.it/2a9q
2024-12-24,Get Out,2017,https://boxd.it/eOCm
2024-12-24,The Truman Show,1998,https://boxd.it/18U8
2024-12-24,The Dark Knight,2008,https://boxd.it/2b0k
2024-12-24,Inception,2010,https://boxd.it/1skk
2024-12-24,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-12-24,American Psycho,2000,https://boxd.it/28Vs
2024-12-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2024-12-24,Forrest Gump,1994,https://boxd.it/728
2024-12-24,Inglourious Basterds,2009,https://boxd.it/1JzG
2024-12-24,The Silence of the Lambs,1991,https://boxd.it/2aHW
2024-12-24,Se7en,1995,https://boxd.it/29zs
2024-12-24,Dead Poets Society,1989,https://boxd.it/2aSg
2024-12-24,Shutter Island,2010,https://boxd.it/1U82
2024-12-24,Django Unchained,2012,https://boxd.it/2cCk
2024-12-24,Her,2013,https://boxd.it/4O24
2024-12-24,The Social Network,2010,https://boxd.it/17ue
2024-12-24,The Matrix,1999,https://boxd.it/2a1m
2024-12-24,Good Will Hunting,1997,https://boxd.it/2ahY
2024-12-24,(500) Days of Summer,2009,https://boxd.it/1EmM
2024-12-24,The Shawshank Redemption,1994,https://boxd.it/2aHi
2024-12-24,Past Lives,2023,https://boxd.it/oNB8
2024-12-24,Donnie Darko,2001,https://boxd.it/2b2A
2024-12-24,GoodFellas,1990,https://boxd.it/29FA
2024-12-24,No Country for Old Men,2007,https://boxd.it/21ew
2024-12-24,Prisoners,2013,https://boxd.it/4E5i
2024-12-24,Avatar,2009,https://boxd.it/1Efm
2024-12-24,1917,2019,https://boxd.it/jj4y
2024-12-24,Moonlight,2016,https://boxd.it/d6bE
2024-12-24,Catch Me If You Can,2002,https://boxd.it/29VS
2024-12-24,Memento,2000,https://boxd.it/2bcK
2024-12-24,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2024-12-24,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2024-12-24,Requiem for a Dream,2000,https://boxd.it/29VI
2024-12-24,Superbad,2007,https://boxd.it/20hO
2024-12-24,Oldboy,2003,https://boxd.it/29R2
2024-12-24,The Prestige,2006,https://boxd.it/293w
2024-12-24,Schindler's List,1993,https://boxd.it/2aq2
2024-12-24,Batman Begins,2005,https://boxd.it/2aIg
2024-12-24,The Dark Knight Rises,2012,https://boxd.it/H3m
2024-12-24,There Will Be Blood,2007,https://boxd.it/20Z2
2024-12-24,The Departed,2006,https://boxd.it/28MA
2024-12-24,The Iron Claw,2023,https://boxd.it/w5Pm
2024-12-24,The Martian,2015,https://boxd.it/8SeG
2024-12-24,Scarface,1983,https://boxd.it/2b7g
2024-12-24,The Virgin Suicides,1999,https://boxd.it/28JG
2024-12-24,Beautiful Boy,2018,https://boxd.it/g76Q
2024-12-24,Logan,2017,https://boxd.it/7Piy
2024-12-24,Saving Private Ryan,1998,https://boxd.it/29ro
2024-12-24,Apocalypse Now,1979,https://boxd.it/6ZS
2024-12-24,The Florida Project,2017,https://boxd.it/dMG0
2024-12-24,American Beauty,1999,https://boxd.it/71Y
2024-12-24,The Worst Person in the World,2021,https://boxd.it/oyws
2024-12-24,BlacKkKlansman,2018,https://boxd.it/hxL8
2024-12-24,The Hangover,2009,https://boxd.it/1GjK
2024-12-25,The Kite Runner,2007,https://boxd.it/20IK
2024-12-25,Incendies,2010,https://boxd.it/Msm
2024-12-25,2 Guns,2013,https://boxd.it/4oAk
2024-12-25,American Me,1992,https://boxd.it/1QBO
2024-12-25,Shot Caller,2017,https://boxd.it/bihA
2024-12-25,City of God,2002,https://boxd.it/2a2a
2024-12-25,Menace II Society,1993,https://boxd.it/1Yuc
2024-12-25,Boyz n the Hood,1991,https://boxd.it/29Ug
2024-12-25,American Gangster,2007,https://boxd.it/23wi
2024-12-26,The Penguin,2024,https://boxd.it/QkIU
2024-12-26,Normal People,2020,https://boxd.it/q2VY
2024-12-26,Memories of Murder,2003,https://boxd.it/1TSo
2024-12-26,Kids,1995,https://boxd.it/1YUY
2024-12-26,Bully,2001,https://boxd.it/1Yu2
2024-12-26,Thirteen,2003,https://boxd.it/1UPK
2024-12-26,Spring Breakers,2012,https://boxd.it/421s
2024-12-26,Havoc,2005,https://boxd.it/1NyW
2024-12-27,V for Vendetta,2005,https://boxd.it/29Ik
2024-12-27,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2024-12-27,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2025-01-05,Daughters,2024,https://boxd.it/K5f2
2025-01-14,Gardens of the Night,2008,https://boxd.it/1JzQ
2025-01-19,Manic,2001,https://boxd.it/1MOE
