Date,Name,Year,Letterboxd URI,Rating
2024-12-24,The Substance,2024,https://boxd.it/zanS,4
2024-12-24,The Revenant,2015,https://boxd.it/8H5e,4
2024-12-24,Parasite,2019,https://boxd.it/hTha,5
2024-12-24,Apocalypto,2006,https://boxd.it/28yy,4.5
2024-12-24,Apocalypse Now,1979,https://boxd.it/6ZS,5
2024-12-24,The Godfather,1972,https://boxd.it/2aNK,5
2024-12-24,The Godfather Part II,1974,https://boxd.it/2aNq,5
2024-12-24,The Godfather Part III,1990,https://boxd.it/2aN6,5
2024-12-24,Interstellar,2014,https://boxd.it/4VZ8,5
2024-12-24,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2024-12-24,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2024-12-24,Fight Club,1999,https://boxd.it/2a9q,5
2024-12-24,Joker,2019,https://boxd.it/h4cS,3.5
2024-12-24,Pulp Fiction,1994,https://boxd.it/29Pq,3.5
2024-12-24,Whiplash,2014,https://boxd.it/7bQA,2.5
2024-12-24,Dune,2021,https://boxd.it/fA7G,3
2024-12-24,Get Out,2017,https://boxd.it/eOCm,4.5
2024-12-24,The Batman,2022,https://boxd.it/eDGs,4
2024-12-24,The Truman Show,1998,https://boxd.it/18U8,4
2024-12-24,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-12-24,Inception,2010,https://boxd.it/1skk,5
2024-12-24,Saltburn,2023,https://boxd.it/z4eg,3
2024-12-24,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2024-12-24,American Psycho,2000,https://boxd.it/28Vs,4.5
2024-12-24,Dune: Part Two,2024,https://boxd.it/pUfA,3.5
2024-12-24,Spirited Away,2001,https://boxd.it/2b4m,3
2024-12-24,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2024-12-24,Gone Girl,2014,https://boxd.it/6hQu,3.5
2024-12-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2024-12-24,Forrest Gump,1994,https://boxd.it/728,5
2024-12-24,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2024-12-24,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2024-12-24,Se7en,1995,https://boxd.it/29zs,4
2024-12-24,Dead Poets Society,1989,https://boxd.it/2aSg,4
2024-12-24,Shutter Island,2010,https://boxd.it/1U82,4.5
2024-12-24,Django Unchained,2012,https://boxd.it/2cCk,4.5
2024-12-24,Her,2013,https://boxd.it/4O24,4
2024-12-24,The Social Network,2010,https://boxd.it/17ue,4
2024-12-24,The Matrix,1999,https://boxd.it/2a1m,5
2024-12-24,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-12-24,Taxi Driver,1976,https://boxd.it/2b8y,4
2024-12-24,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-12-24,(500) Days of Summer,2009,https://boxd.it/1EmM,5
2024-12-24,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-12-24,Past Lives,2023,https://boxd.it/oNB8,4
2024-12-24,Arrival,2016,https://boxd.it/aNGk,3.5
2024-12-24,Donnie Darko,2001,https://boxd.it/2b2A,4
2024-12-24,Mean Girls,2004,https://boxd.it/1VNg,3.5
2024-12-24,Us,2019,https://boxd.it/gnV6,3.5
2024-12-24,GoodFellas,1990,https://boxd.it/29FA,5
2024-12-24,Don't Look Up,2021,https://boxd.it/o0Hc,3
2024-12-24,Drive,2011,https://boxd.it/IG,3.5
2024-12-24,Little Miss Sunshine,2006,https://boxd.it/29EW,3.5
2024-12-24,X,2022,https://boxd.it/sxVa,3.5
2024-12-24,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2024-12-24,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2024-12-24,No Country for Old Men,2007,https://boxd.it/21ew,5
2024-12-24,Prisoners,2013,https://boxd.it/4E5i,5
2024-12-24,Avatar,2009,https://boxd.it/1Efm,4.5
2024-12-24,1917,2019,https://boxd.it/jj4y,4
2024-12-24,Moonlight,2016,https://boxd.it/d6bE,5
2024-12-24,Catch Me If You Can,2002,https://boxd.it/29VS,4
2024-12-24,Thor: Ragnarok,2017,https://boxd.it/8MHi,3
2024-12-24,Memento,2000,https://boxd.it/2bcK,4
2024-12-24,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2024-12-24,Home Alone,1990,https://boxd.it/29Fg,3
2024-12-24,A Quiet Place,2018,https://boxd.it/fVJQ,3
2024-12-24,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
2024-12-24,Requiem for a Dream,2000,https://boxd.it/29VI,5
2024-12-24,Uncut Gems,2019,https://boxd.it/gXGc,3.5
2024-12-24,Superbad,2007,https://boxd.it/20hO,5
2024-12-24,Lost in Translation,2003,https://boxd.it/2b0E,3
2024-12-24,Zodiac,2007,https://boxd.it/27MO,5
2024-12-24,Gladiator,2000,https://boxd.it/2b9m,4
2024-12-24,Tenet,2020,https://boxd.it/leq4,4
2024-12-24,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2024-12-24,Before Sunrise,1995,https://boxd.it/2bcU,4
2024-12-24,Nightcrawler,2014,https://boxd.it/780m,3.5
2024-12-24,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2024-12-24,Oldboy,2003,https://boxd.it/29R2,5
2024-12-24,Reservoir Dogs,1992,https://boxd.it/2agc,3
2024-12-24,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2024-12-24,Schindler's List,1993,https://boxd.it/2aq2,5
2024-12-24,Batman Begins,2005,https://boxd.it/2aIg,4.5
2024-12-24,Marriage Story,2019,https://boxd.it/hJAw,4
2024-12-24,The Notebook,2004,https://boxd.it/1UNE,4
2024-12-24,The Prestige,2006,https://boxd.it/293w,4.5
2024-12-24,Spider-Man 2,2004,https://boxd.it/2a88,3.5
2024-12-24,The Dark Knight Rises,2012,https://boxd.it/H3m,5
2024-12-24,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3
2024-12-24,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2024-12-24,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3.5
2024-12-24,The Whale,2022,https://boxd.it/tw4c,2.5
2024-12-24,There Will Be Blood,2007,https://boxd.it/20Z2,4
2024-12-24,The Lobster,2015,https://boxd.it/7tnw,3.5
2024-12-24,Split,2016,https://boxd.it/dgSy,3.5
2024-12-24,Deadpool 2,2018,https://boxd.it/dlLM,3.5
